ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Sex,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0.024181992,0.5,0.56,5,185,2,0,0,high,26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Female,58,3,1,Human Resources,3,Divorced,2741,0,Yes,11,3,2,1,8,2,2,7,7,1,0
0.514894708,0.14,0.76,5,260,6,0,0,high,50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,Male,99,3,5,Manager,2,Married,18200,1,No,11,3,3,1,32,2,3,32,5,10,7
0.490177644,0.45,0.53,2,129,3,0,0,high,44,No,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,Female,50,2,2,Human Resources,3,Single,5985,4,No,11,3,2,0,10,1,4,2,2,0,2
0.33479368,0.53,0.96,3,181,3,1,0,high,54,No,Travel_Rarely,397,Human Resources,19,4,Medical,3,Male,88,3,3,Human Resources,2,Married,10725,2,No,15,3,3,1,16,1,4,9,7,7,1
0.552397461,0.39,0.48,2,160,3,0,0,low,41,No,Travel_Rarely,427,Human Resources,10,4,Human Resources,2,Male,73,2,5,Manager,4,Divorced,19141,3,No,15,3,2,3,23,2,2,21,6,12,6
0.193343727,0.73,0.87,5,257,5,0,0,low,41,No,Travel_Rarely,314,Human Resources,1,3,Human Resources,4,Male,59,2,5,Manager,3,Married,19189,1,No,12,3,2,1,22,3,3,22,7,2,10
0.965144563,0.45,0.53,2,155,3,0,0,low,39,No,Travel_Rarely,141,Human Resources,3,3,Human Resources,3,Female,44,4,2,Human Resources,2,Married,6389,9,No,15,3,3,1,12,3,1,8,3,3,6
0.704037101,0.45,0.51,2,147,3,0,0,low,36,No,Travel_Rarely,1041,Human Resources,13,3,Human Resources,3,Male,36,3,1,Human Resources,2,Married,2143,4,No,13,3,2,1,8,2,3,5,2,0,4
0.744358422,0.27,0.54,7,278,3,0,0,low,34,No,Travel_Rarely,829,Human Resources,3,2,Human Resources,3,Male,88,3,1,Human Resources,4,Married,3737,0,No,19,3,3,1,4,1,1,3,2,0,2
0.459592529,0.6,0.81,2,214,3,0,0,high,28,No,Travel_Rarely,1169,Human Resources,8,2,Medical,2,Male,63,2,1,Human Resources,4,Divorced,4936,1,No,13,3,4,1,6,6,3,5,1,0,4
0.07558335,0.8,0.53,3,255,5,0,0,high,36,No,Travel_Rarely,1278,Human Resources,8,3,Life Sciences,1,Male,77,2,1,Human Resources,1,Married,2342,0,No,21,4,3,0,6,3,3,5,4,0,3
0.752198497,0.1,0.97,6,282,4,0,0,medium,39,No,Travel_Rarely,1383,Human Resources,2,3,Life Sciences,4,Female,42,2,2,Human Resources,4,Married,5204,8,No,11,3,3,2,13,2,3,5,4,0,4
0.363272325,0.99,0.96,5,261,3,0,0,high,33,No,Travel_Rarely,1075,Human Resources,3,2,Human Resources,4,Male,57,3,1,Human Resources,2,Divorced,2277,3,Yes,11,3,3,1,7,4,4,4,3,0,3
0.356927283,0.82,0.87,4,239,5,0,0,low,45,No,Travel_Rarely,788,Human Resources,24,4,Medical,2,Male,36,3,1,Human Resources,2,Single,2177,1,No,16,3,1,0,6,3,3,6,3,0,4
0.705249346,0.8,0.97,4,218,5,1,0,medium,44,Yes,Travel_Rarely,1376,Human Resources,1,2,Medical,2,Male,91,2,3,Human Resources,1,Married,10482,9,No,14,3,4,1,24,1,3,20,6,3,6
0.748973232,0.76,0.89,5,262,5,0,0,low,38,No,Travel_Rarely,433,Human Resources,1,3,Human Resources,3,Male,37,4,1,Human Resources,3,Married,2844,1,No,13,3,4,1,7,2,4,7,6,5,0
0.758845746,0.58,0.76,4,197,5,0,0,low,35,No,Travel_Rarely,528,Human Resources,8,4,Technical Degree,3,Male,100,3,1,Human Resources,3,Single,4323,1,No,17,3,2,0,6,2,1,5,4,1,4
0.886497246,0.76,0.74,4,235,3,0,0,high,33,No,Travel_Rarely,147,Human Resources,2,3,Human Resources,2,Male,99,3,1,Human Resources,3,Married,3600,1,No,13,3,4,1,5,2,3,5,4,1,4
0.148438082,0.11,0.79,6,294,4,0,0,medium,42,No,Non-Travel,179,Human Resources,2,5,Medical,4,Male,79,4,2,Human Resources,1,Married,6272,7,No,16,3,1,1,10,3,4,4,3,0,3
0.972502541,0.82,0.76,3,219,8,1,0,low,34,No,Travel_Frequently,648,Human Resources,11,3,Life Sciences,3,Male,56,2,2,Human Resources,2,Married,4490,4,No,11,3,4,2,14,5,4,10,9,1,8
0.927685839,0.11,0.87,6,306,4,0,0,low,46,No,Travel_Rarely,991,Human Resources,1,2,Life Sciences,4,Female,44,3,1,Human Resources,1,Single,3423,6,No,12,3,3,0,10,3,4,7,6,5,7
0.323805289,0.46,0.49,2,138,3,0,0,low,56,No,Travel_Rarely,206,Human Resources,8,4,Life Sciences,4,Male,99,3,5,Manager,2,Single,19717,6,No,14,3,1,0,36,4,3,7,3,7,7
0.103452722,0.83,0.99,4,223,5,0,0,medium,51,No,Travel_Rarely,770,Human Resources,5,3,Life Sciences,3,Male,84,3,4,Manager,2,Divorced,14026,1,Yes,11,3,2,1,33,2,3,33,9,0,10
0.799453792,0.39,0.55,2,156,3,0,0,high,42,No,Travel_Rarely,1147,Human Resources,10,3,Human Resources,3,Female,31,3,4,Manager,1,Married,16799,0,No,14,3,3,1,21,5,3,20,7,0,9
0.446450979,0.44,0.51,2,134,3,0,0,medium,29,No,Travel_Rarely,332,Human Resources,17,3,Other,2,Male,51,2,3,Human Resources,1,Single,7988,1,No,13,3,1,0,10,3,2,10,9,0,9
0.733922063,0.73,0.83,4,270,2,0,0,high,31,No,Travel_Rarely,1398,Human Resources,8,2,Medical,4,Female,96,4,1,Human Resources,2,Single,2109,9,No,18,3,4,0,8,3,3,3,2,0,2
0.504926273,0.89,0.82,4,243,5,0,0,medium,34,Yes,Travel_Rarely,1107,Human Resources,9,4,Technical Degree,1,Female,52,3,1,Human Resources,3,Married,2742,1,No,15,3,4,0,2,0,3,2,2,2,2
0.42372636,0.43,0.52,2,160,3,0,0,low,30,No,Travel_Rarely,330,Human Resources,1,3,Life Sciences,3,Male,46,3,1,Human Resources,3,Divorced,2064,0,No,21,4,1,1,6,3,4,5,3,1,3
0.197814932,0.11,0.84,6,251,4,0,0,low,40,No,Travel_Rarely,898,Human Resources,6,2,Medical,3,Male,38,3,4,Manager,4,Single,16437,1,Yes,21,4,4,0,21,2,3,21,7,7,7
0.454117684,0.6,0.56,4,260,3,0,0,high,38,No,Travel_Frequently,888,Human Resources,10,4,Human Resources,3,Male,71,3,2,Human Resources,3,Married,6077,3,No,11,3,3,0,10,2,3,6,3,1,2
0.038471642,0.45,0.48,2,158,3,0,0,low,47,No,Travel_Rarely,1176,Human Resources,26,4,Life Sciences,4,Female,98,3,5,Manager,3,Married,19658,3,No,11,3,3,1,27,2,3,5,2,1,0
0.381802792,0.87,0.82,4,251,3,0,0,high,44,No,Travel_Frequently,602,Human Resources,1,5,Human Resources,1,Male,37,3,2,Human Resources,4,Married,5743,4,Yes,11,3,3,0,14,3,3,10,7,0,2
0.676361302,0.4,0.53,2,158,3,0,0,low,44,No,Travel_Rarely,528,Human Resources,1,3,Life Sciences,3,Female,44,3,1,Human Resources,4,Divorced,3195,4,Yes,18,3,1,3,8,2,3,2,2,2,2
0.554213782,0.9,1,5,221,5,0,0,low,24,Yes,Travel_Rarely,240,Human Resources,22,1,Human Resources,4,Male,58,1,1,Human Resources,3,Married,1555,1,No,11,3,3,1,1,2,3,1,0,0,0
0.09733394,0.61,0.97,3,199,3,1,0,high,41,No,Non-Travel,552,Human Resources,4,3,Human Resources,3,Male,60,1,2,Human Resources,2,Married,6430,6,No,19,3,2,1,10,4,3,3,2,1,2
0.284563945,0.09,0.77,6,290,4,0,0,medium,45,No,Travel_Rarely,176,Human Resources,4,3,Life Sciences,3,Female,56,1,3,Human Resources,3,Married,9756,4,No,21,4,3,2,9,2,4,5,0,0,3
0.137773558,0.39,0.45,2,134,3,0,0,medium,24,No,Travel_Frequently,897,Human Resources,10,3,Medical,1,Male,59,3,1,Human Resources,4,Married,2145,0,No,14,3,4,1,3,2,3,2,2,2,1
0.567522474,0.11,0.85,7,275,4,0,0,medium,30,Yes,Travel_Frequently,600,Human Resources,8,3,Human Resources,3,Female,66,2,1,Human Resources,4,Divorced,2180,6,No,11,3,3,1,6,0,2,4,2,1,2
0.232125185,0.45,0.46,2,153,3,1,0,medium,43,No,Travel_Rarely,244,Human Resources,2,3,Life Sciences,2,Male,97,3,1,Human Resources,4,Single,3539,0,No,13,3,2,0,10,5,3,9,7,1,8
0.715845583,0.31,0.84,7,133,5,0,0,low,37,No,Travel_Rarely,1239,Human Resources,8,2,Other,3,Male,89,3,2,Human Resources,2,Divorced,4071,2,No,13,3,3,0,19,4,2,10,0,4,7
0.749931385,0.82,0.65,4,148,3,0,0,high,38,No,Non-Travel,1336,Human Resources,2,3,Human Resources,1,Male,100,3,1,Human Resources,2,Divorced,2592,5,No,13,3,4,3,13,3,3,11,10,3,8
0.358534874,0.43,0.49,2,160,3,0,0,medium,26,Yes,Travel_Rarely,920,Human Resources,20,2,Medical,4,Female,69,3,1,Human Resources,2,Married,2148,0,Yes,11,3,3,0,6,3,3,5,1,1,4
0.417973257,0.45,0.75,3,122,3,0,0,high,31,Yes,Travel_Rarely,359,Human Resources,18,5,Human Resources,4,Male,89,4,1,Human Resources,1,Married,2956,0,No,17,3,3,0,2,4,3,1,0,0,0
0.543181341,0.09,0.96,6,245,4,0,0,low,29,Yes,Travel_Rarely,350,Human Resources,13,3,Human Resources,1,Male,56,2,1,Human Resources,1,Divorced,2335,4,Yes,15,3,4,3,4,3,3,2,2,2,0
0.23739281,0.57,0.7,3,273,6,0,0,low,28,No,Non-Travel,280,Human Resources,1,2,Life Sciences,3,Male,43,3,1,Human Resources,4,Divorced,2706,1,No,15,3,2,1,3,2,3,3,2,2,2
0.699453333,0.84,0.99,2,184,2,0,0,high,29,No,Travel_Rarely,352,Human Resources,6,1,Medical,4,Male,87,2,1,Human Resources,2,Married,2804,1,No,11,3,4,0,1,3,3,1,0,0,0
0.751981234,0.94,0.66,3,236,2,0,0,high,36,No,Travel_Frequently,1213,Human Resources,2,1,Human Resources,2,Male,94,2,2,Human Resources,4,Single,3886,1,No,21,4,4,0,10,2,2,10,1,0,8
0.325775292,0.36,0.56,2,137,3,0,0,low,27,Yes,Travel_Frequently,1337,Human Resources,22,3,Human Resources,1,Female,58,2,1,Human Resources,2,Married,2863,1,No,12,3,1,0,1,2,3,1,0,0,0
0.341978831,0.82,0.82,3,148,3,0,0,low,38,No,Travel_Frequently,1444,Human Resources,1,4,Other,4,Male,88,3,1,Human Resources,2,Married,2991,0,Yes,11,3,2,1,7,2,3,6,2,1,2
0.639802371,0.73,0.83,5,270,5,1,0,medium,55,No,Travel_Rarely,189,Human Resources,26,4,Human Resources,3,Male,71,4,5,Manager,2,Married,19636,4,Yes,18,3,1,1,35,0,3,10,9,1,4
0.486392722,0.37,0.47,2,152,3,0,0,low,25,No,Travel_Rarely,309,Human Resources,2,3,Human Resources,3,Female,82,3,1,Human Resources,2,Married,2187,4,No,14,3,3,0,6,3,3,2,0,1,2
0.75001294,0.38,0.5,2,132,3,0,0,low,35,No,Travel_Rarely,1146,Human Resources,26,4,Life Sciences,3,Female,31,3,3,Human Resources,4,Single,8837,1,Yes,16,3,3,0,9,2,3,9,0,1,7
0.092045078,0.14,0.62,4,158,4,1,0,low,49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7
0.238306127,0.82,0.86,4,264,5,0,0,medium,37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0
0.165465384,0.92,0.44,3,260,8,0,0,low,33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0
0.55917988,0.39,0.51,2,151,3,0,0,medium,27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2
0.241434351,0.82,0.84,3,194,3,0,0,low,32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6
0.753348265,0.95,0.87,3,208,2,0,0,high,59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0
0.727776602,0.7,0.57,4,211,3,0,0,high,30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0
0.644686591,0.31,0.54,5,132,5,0,0,low,38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,0,No,21,4,2,0,10,2,3,9,7,1,8
0.394037204,0.95,0.99,5,251,4,0,0,low,36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7
0.151410417,0.37,0.57,2,128,3,0,0,medium,35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3
0.482014881,0.83,0.84,3,267,3,0,0,high,29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,0,Yes,12,3,4,0,10,3,3,9,5,0,8
0.18676197,0.55,0.74,3,211,3,1,0,high,31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3
0.798041391,0.45,0.49,2,134,3,0,0,medium,34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2
0.368591129,0.41,0.87,6,262,6,0,0,high,28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3
0.924786804,0.43,0.47,2,147,3,0,0,low,29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8
0.64687294,0.11,0.92,7,255,4,0,0,medium,32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5
0.038224107,0.77,0.71,4,223,3,0,0,high,22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,2,2,1,2,2,1,0,0,0
0.187108647,0.75,1,4,216,6,0,0,low,38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,5,Yes,11,3,3,0,6,3,3,3,2,1,2
0.075339971,0.39,0.56,2,142,3,0,0,low,24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,0,No,18,3,4,1,5,5,2,4,2,1,3
0.35827283,0.38,0.88,3,154,4,0,0,medium,34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,0,No,11,3,3,0,13,4,3,12,6,2,11
0.027798768,0.8,0.85,5,242,3,0,0,high,21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,1,No,14,3,4,0,0,6,3,0,0,0,0
0.766382982,0.43,0.55,2,129,3,0,0,low,34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,2,No,11,3,3,0,8,2,3,4,2,1,3
0.000892307,0.36,0.52,2,146,3,0,0,medium,53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,4,No,11,3,4,1,26,3,2,14,13,4,8
0.428801802,0.37,0.57,2,130,3,0,0,low,32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,1,Yes,22,4,2,0,10,5,3,10,2,6,7
0.027673556,0.11,0.84,6,300,5,1,0,low,44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,3,No,14,3,4,1,24,4,3,22,6,5,17
0.092551231,0.57,0.56,3,224,2,0,0,high,33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,4,No,11,3,4,0,7,3,3,1,1,0,0
0.949780178,0.78,0.92,3,169,3,0,0,high,44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,2,Yes,13,3,4,0,9,5,4,4,2,1,3
0.015588875,0.4,0.48,2,138,3,0,0,medium,30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,1,No,13,3,1,0,10,5,3,10,0,1,8
0.785732606,0.44,0.55,2,135,3,0,0,low,24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,2,Yes,16,3,1,1,6,2,2,2,0,2,0
0.324667862,0.49,0.58,5,186,2,0,0,high,43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,1,No,12,3,4,2,6,3,2,5,3,1,4
0.494400808,0.45,0.54,2,135,3,0,0,low,36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,9,Yes,14,3,4,1,6,3,4,1,1,0,0
0.04479568,0.1,0.94,6,255,4,0,0,low,35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,3,1,1,3,3,1,0,0,0
0.546824882,0.15,0.94,5,244,6,0,0,high,27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,4,1,1,6,3,1,0,0,0
0.715521142,0.42,0.52,2,151,3,0,0,medium,26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,1,No,12,3,3,0,1,2,2,1,0,0,1
0.968538808,0.8,0.75,3,268,2,0,0,medium,30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,1,No,23,4,4,0,12,2,3,12,8,3,7
0.245583787,0.1,0.95,5,286,4,0,0,high,41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,1,No,12,3,4,0,23,0,3,22,15,15,8
0.973729312,0.09,0.8,7,283,5,0,0,low,37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,4,No,21,4,1,0,8,1,3,1,0,0,0
0.453392039,0.82,0.97,5,263,5,0,0,medium,35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1
0.500409241,0.83,0.95,4,251,5,0,0,medium,48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,4,0,23,2,3,1,0,0,0
0.543436143,0.1,0.94,7,281,4,0,0,medium,28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,1,Yes,13,3,3,0,2,3,2,2,2,2,2
0.999927789,0.21,0.82,4,207,5,0,0,high,35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3
0.882484721,0.45,0.57,2,148,3,0,0,high,33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12
0.770436207,0.1,0.87,6,307,4,0,0,high,35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2
0.939510344,0.78,0.87,5,256,5,0,0,medium,31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,3,No,22,4,4,1,10,3,2,7,7,1,7
0.739362393,0.78,0.53,6,168,3,0,0,low,37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,3,1,7,2,4,7,5,0,7
0.268902955,0.51,0.83,5,249,4,0,0,medium,32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8
0.781891443,0.46,0.46,2,145,3,0,0,high,38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9
0.40960072,0.65,0.57,3,137,4,1,0,high,50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8
0.707130905,0.75,0.97,5,243,6,0,0,medium,36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8
0.506418716,0.09,0.85,6,289,4,0,0,high,55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2
0.323455046,0.58,0.79,5,262,2,0,0,high,36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3
0.726566478,0.85,0.58,3,226,2,0,0,medium,45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0
0.497655319,0.39,0.55,2,159,3,0,0,high,35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2
0.687915,0.84,0.86,5,268,5,0,0,medium,36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0
0.691629791,0.71,0.63,3,254,3,1,0,high,29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,0,No,23,4,4,1,6,3,3,5,4,0,4
0.557339608,0.3,0.64,2,137,3,0,0,high,31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0
0.053831603,0.45,0.46,2,159,3,0,0,high,32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9
0.998825808,0.42,0.5,2,128,3,0,0,high,36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0
